grammar_rule_line_number,structure,use,hanzi,pinyin,explanation
2,subject +  在  + verb + object,Used to express that an action is ongoing or in progress,她  在  看 书。  ,Tā  zài  kànshū,explains that she is reading.
2,y,Used to express that an action is ongoing or in progress,阿姨  正在  打扫 我们 的 房间。  ,Āyí  zhèngzài  dǎsǎo wǒmen de fángjiān,explains that the cleaning lady is cleaning our room right now.
3,subject + 没有 + object,used to negate the verb 有,我  没有  问题。   ,Wǒ  méiyǒu  wèntí,explains that i don't have any questions.
4,subject +  不  + verb + object,"used to negate a verb in the present or future, or to talk about what you do not do, as a habit",我们  不   喝  酒。  ,Wǒmen  bù   hē jiǔ,explains that we don't drink alcohol.
4,subject +  不  + adjective,"used to negate a verb in the present or future, or to talk about what you do not do, as a habit",我  不   饿 。  ,Wǒ  bù   è ,explains that i'm not hungry.
5,subject + 都 + phrase,"used to express ""all""",我们  都  要 冰水。  ,Wǒmen  dōu  yào bīngshuǐ ,explains that we all want ice water.
6,subject + 也 + verb,"Used to express ""too"" or ""also""",我  也  喜欢。   ,Wǒ  yě  xǐhuan,explains that i also like it.
6,subject + 也 + adverb + adjective,"Used to express ""too"" or ""also""",你  也   很  高。   ,Nǐ  yě   hěn  gāo,explains that you are also tall.
7,subject + 多 + adjective,Used to express the degree of an adjective,她  多  高？  ,Tā  duō  gāo,explains that how tall is she?
8,subject +  不太  + adjective,"Used to mean ""not very"" or ""not so"" (literally ""not too"").",我 家  不 太  大。  ,Wǒ jiā  bù tài  dà,explains that my house is not too big.
8,subject +  不太  + verb,"Used to mean ""not very"" or ""not so"" (literally ""not too"").",我  不 太  懂 。  ,Wǒ  bù tài  dǒng,explains that i don't really understand.
9,noun + 和 + noun,Mainly used to link nouns,你   和   我  ,nǐ   hé   wǒ,explains that you and i
10,time + 以后 + phrase,used to describe the events after a specific time,下午 三点   以后 ， 我 不 在 家。   ,Xiàwǔ  sāndiǎn   yǐhòu  wǒ bù zài jiā,"explains that after three p.m., i will not be at home."
10,verb + 以后 + phrase,used to describe what happened after a specific event,来 中国   以后 ， 她 认识 了 她 的 老公。   ,Lái Zhōngguó   yǐhòu  tā rènshi le tā de lǎogōng,"explains that after coming to china, she met her husband."
11,verb + 以前 + phrase,used to talk about things that happened before a specific event or action,吃饭   以前  ，你 洗 手 了 吗？  ,Chīfàn   yǐqián  nǐ xǐ shǒu le ma,explains that did you wash your hands before eating?
11,time + 以前 + phrase,Used to talk about things that happened before a specific time.,两 年   以前  ， 你 认识 他 吗？   ,Liǎng nián   yǐqián   nǐ rènshi tā ma,explains that did you know him two years ago?
12,time + subject + verb + object,Referencing a specific time,昨天   我  去 了 酒吧 。   ,Zuótiān   wǒ  qù le jiǔbā,explains that yesterday i went to the bar.
12,subject + time + verb + object,Referencing a specific time,我   昨天  去 了 酒吧 。   ,Wǒ   zuótiān  qù le jiǔbā,explains that i went to the bar yesterday.
13,subject +  Number  +  岁,Used to give a person's age,我 20  岁  。  ,Wǒ èrshí  suì ,explains that i am 20 years old.
13,subject +  Number  +  岁  +  半,used to give an age that involves a half,她两岁半。   ,Tā liǎng  suì   bàn ,explains that she is two and a half years old.
14,Number  +  个  + noun,Counting a person,一  个  人   ,yī  gè  rén,explains that one person
14,subject + verb + 个 + noun,"If the number is one, it can be omitted to be an indefinite article",他 是  个  老外。  ,Tā shì  gè  lǎowài,explains that he is a foreigner.
15,number + 年 + number + 月 + number + 号,Dates are arranged from largest unit to smallest,1868  年  1  月  18  号  ,Yībāliùbā  nián  Yī yuè  shíbā  hào,"explains that january 18, 1868"
15,number + 年 + number + 月 + number + 号,Dates are arranged from largest unit to smallest,1910  年  8  月  9  号  ,Yījiǔyīlíng  nián  Bā yuè  jiǔ  hào,"explains that august 9, 1910"
15,number + 年 + number + 月 + number + 日,Dates are arranged from largest unit to smallest,2001  年  7  月  20  日  ,èrlínglíngyī  nián  Qī yuè  èrshí  rì,"explains that july 20th, 2001"
