rule_url,title,error
https://resources.allsetlearning.com/chinese/grammar/ASG846EA,"Expressing actions in progress with ""zai""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q,"Negation of ""you"" with ""mei""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV,"Standard negation with ""bu""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASG9YK09,"The ""all"" adverb ""dou""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGG25MD,"The ""also"" adverb ""ye""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASG9LLJU,"Asking about degree with ""duo""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGUNMHU,"Expressing ""not very"" with ""bu tai""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGP0KFF,"Expressing ""and"" with ""he""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGRLQGY,"After a specific time with ""yihou""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGJ2OJC,"Before a specific time with ""yiqian""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASG5RWKO,Time words and word order,name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGQUKJF,"Age with ""sui""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGI0T9S,"Measure word ""ge""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGT3KF6,Structure of dates,name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGVH4Q5,Structure of days of the week,name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGCRH6P,Structure of numbers,name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGDTO07,Structure of times (advanced),name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGN6BBU,Structure of times (basic),name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGCI0KG,"Expressing close possession without ""de""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGAGDCQ,"Expressing completion with ""le""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGFR96B,"Expressing ""not anymore"" with ""le""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGE5Q4J,"Expressing ""now"" with ""le""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGUHQD2,"Expressing possession with ""de""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGMJHZO,"Questions with ""ne""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGW66JM,"Sentence-final interjection ""a""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGDHC1H,"Softening speech with ""ba""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGMPZ6D,"Suggestions with ""ba""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGRBKSL,"Directional verbs ""lai"" and ""qu""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGLRWT8,"Expressing existence in a place with ""zai""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASG04ZCI,"Expressing existence with ""you""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGOOCVO,"Expressing possession with ""you""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASG25C48,"Polite requests with ""qing""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGUGWVZ,"Using the verb ""jiao""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGFYNCL,"Using the verb ""qu""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASG9PQ40,"Expressing ability or possibility with ""neng""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGRHM0E,"Expressing a learned skill with ""hui""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGW9737,"Expressing ""will"" with ""hui""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGT97VF,"Expressing ""would like to"" with ""xiang""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGH2MNO,"How to do something with ""zenme""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGX0Z0N,"Indicating location with ""zai"" before verbs",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGAUCXK,"Negation of past actions with ""meiyou""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGETNCO,Basic sentence order,name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGUN7RX,"Connecting nouns with ""shi""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASG8HVFN,"Expressing ""excessively"" with ""tai""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASG17BLH,"Simple ""noun + adjective"" sentences",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGWVZ0T,"Expressing ""some"" with ""yixie""",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGL6JOE,Counting money,name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGL9KQM,Measure words in quantity questions,name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGC701A,"Asking how something is with ""zenmeyang""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC,Placement of question words,name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGYKDNF,"Questions with ""le ma""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGQ2AZA,"Yes-no questions with ""ma""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGE662E,"The ""shi... de"" construction for emphasizing details",name 'GrammarRule' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGRJ1BI,"Comparing ""bu"" and ""mei""",name 'GrammarRule' is not defined
rule_url,title,error
https://resources.allsetlearning.com/chinese/grammar/ASG846EA,"Expressing actions in progress with ""zai""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q,"Negation of ""you"" with ""mei""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV,"Standard negation with ""bu""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASG9YK09,"The ""all"" adverb ""dou""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGG25MD,"The ""also"" adverb ""ye""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASG9LLJU,"Asking about degree with ""duo""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGUNMHU,"Expressing ""not very"" with ""bu tai""",name 'r' is not defined
https://resources.allsetlearning.com/chinese/grammar/ASGP0KFF,"Expressing ""and"" with ""he""",name 'r' is not defined
